"RGN09CD","Year","Sex","Age_Group","Deprivation_Quintile","Ethnic_Group","population_estimates"
"E12000002",2014,"Females","50-64","5","Mixed",413.441122205197
"E12000002",2014,"Females","50-64","1","Other",655.640090663236
"E12000002",2014,"Females","50-64","2","Other",264.758054768775
"E12000002",2014,"Females","50-64","3","Other",217.554003857453
"E12000002",2014,"Females","50-64","4","Other",221.332673287435
"E12000002",2014,"Females","50-64","5","Other",208.395631220752
"E12000002",2014,"Females","50-64","1","White",181607.173088848
"E12000002",2014,"Females","50-64","2","White",113324.522973646
"E12000002",2014,"Females","50-64","3","White",104271.745315673
"E12000002",2014,"Females","50-64","4","White",126976.009103617
"E12000002",2014,"Females","50-64","5","White",111254.662395684
"E12000002",2014,"Females","65-74","1","Asian",3488.14437023358
"E12000002",2014,"Females","65-74","2","Asian",1252.99559804125
"E12000002",2014,"Females","65-74","3","Asian",550.747553944605
"E12000002",2014,"Females","65-74","4","Asian",690.868198597027
"E12000002",2014,"Females","65-74","5","Asian",548.219879804431
"E12000002",2014,"Females","65-74","1","Black",817.076044277796
"E12000002",2014,"Females","65-74","2","Black",383.580932922919
"E12000002",2014,"Females","65-74","3","Black",112.745487030926
"E12000002",2014,"Females","65-74","4","Black",87.2115320255148
"E12000002",2014,"Females","65-74","5","Black",59.1512909002563
"E12000002",2014,"Females","65-74","1","Mixed",452.138043309613
"E12000002",2014,"Females","65-74","2","Mixed",202.68786575846
"E12000002",2014,"Females","65-74","3","Mixed",137.382415259267
"E12000002",2014,"Females","65-74","4","Mixed",154.924181360865
"E12000002",2014,"Females","65-74","5","Mixed",115.245246587491
"E12000002",2014,"Females","65-74","1","Other",141.153280374824
"E12000002",2014,"Females","65-74","2","Other",74.7576477870576
"E12000002",2014,"Females","65-74","3","Other",62.5412992952661
"E12000002",2014,"Females","65-74","4","Other",61.1340715673197
"E12000002",2014,"Females","65-74","5","Other",47.1623211596334
"E12000002",2014,"Females","65-74","1","White",89951.4882618863
"E12000002",2014,"Females","65-74","2","White",61042.9779555002
"E12000002",2014,"Females","65-74","3","White",58936.5832444461
"E12000002",2014,"Females","65-74","4","White",75796.8620164151
"E12000002",2014,"Females","65-74","5","White",67540.2212615142
"E12000002",2014,"Females","75-84","1","Asian",2020.0227009472
"E12000002",2014,"Females","75-84","2","Asian",714.110025168092
"E12000002",2014,"Females","75-84","3","Asian",298.257119976454
"E12000002",2014,"Females","75-84","4","Asian",365.06178164769
"E12000002",2014,"Females","75-84","5","Asian",283.644573137469
"E12000002",2014,"Females","75-84","1","Black",643.237843092068
"E12000002",2014,"Females","75-84","2","Black",297.18022467211
"E12000002",2014,"Females","75-84","3","Black",83.0012667891908
"E12000002",2014,"Females","75-84","4","Black",62.6458625736764
"E12000002",2014,"Females","75-84","5","Black",41.6036310709846
"E12000002",2014,"Females","75-84","1","Mixed",247.679604893327
"E12000002",2014,"Females","75-84","2","Mixed",109.269946820779
"E12000002",2014,"Females","75-84","3","Mixed",70.376357870114
"E12000002",2014,"Females","75-84","4","Mixed",77.436867076242
"E12000002",2014,"Females","75-84","5","Mixed",56.4027289923563
"E12000002",2014,"Females","75-84","1","Other",77.0359164605114
"E12000002",2014,"Females","75-84","2","Other",40.1524169391488
"E12000002",2014,"Females","75-84","3","Other",31.9187313861896
"E12000002",2014,"Females","75-84","4","Other",30.4435271231684
"E12000002",2014,"Females","75-84","5","Other",22.9961614791231
"E12000002",2014,"Females","75-84","1","White",61180.0239346248
"E12000002",2014,"Females","75-84","2","White",40859.2873864019
"E12000002",2014,"Females","75-84","3","White",37485.4465239728
"E12000002",2014,"Females","75-84","4","White",47039.4119615718
"E12000002",2014,"Females","75-84","5","White",41041.3529053129
"E12000002",2014,"Females","85+","1","Asian",442.184941338744
"E12000002",2014,"Females","85+","2","Asian",162.645612020675
"E12000002",2014,"Females","85+","3","Asian",63.2950112568754
"E12000002",2014,"Females","85+","4","Asian",74.9379746400855
"E12000002",2014,"Females","85+","5","Asian",58.1891365605772
"E12000002",2014,"Females","85+","1","Black",130.657242587148
"E12000002",2014,"Females","85+","2","Black",62.8074745084175
"E12000002",2014,"Females","85+","3","Black",16.3447237714249
"E12000002",2014,"Females","85+","4","Black",11.9327949713544
"E12000002",2014,"Females","85+","5","Black",7.91977555156938
"E12000002",2014,"Females","85+","1","Mixed",103.417687358054
"E12000002",2014,"Females","85+","2","Mixed",47.4717049606543
"E12000002",2014,"Females","85+","3","Mixed",28.4880239655158
"E12000002",2014,"Females","85+","4","Mixed",30.3207705078312
"E12000002",2014,"Females","85+","5","Mixed",22.0711228802669
"E12000002",2014,"Females","85+","1","Other",27.4614791328977
"E12000002",2014,"Females","85+","2","Other",14.8926467030883
"E12000002",2014,"Females","85+","3","Other",11.0308062619007
"E12000002",2014,"Females","85+","4","Other",10.1768535104802
"E12000002",2014,"Females","85+","5","Other",7.6825564012587
"E12000002",2014,"Females","85+","1","White",28838.2786495824
"E12000002",2014,"Females","85+","2","White",20039.1825618071
"E12000002",2014,"Females","85+","3","White",17129.8414347445
"E12000002",2014,"Females","85+","4","White",20792.6316063706
"E12000002",2014,"Females","85+","5","White",18130.1374086066
"E12000002",2014,"Males","0-24","1","Asian",68919.7343818479
"E12000002",2014,"Males","0-24","2","Asian",23431.4962582596
"E12000002",2014,"Males","0-24","3","Asian",7144.57609789165
"E12000002",2014,"Males","0-24","4","Asian",7157.1851086892
"E12000002",2014,"Males","0-24","5","Asian",4888.4519490305
"E12000002",2014,"Males","0-24","1","Black",15871.8139985669
"E12000002",2014,"Males","0-24","2","Black",3531.85319497855
"E12000002",2014,"Males","0-24","3","Black",1167.09335063074
"E12000002",2014,"Males","0-24","4","Black",791.416666924522
"E12000002",2014,"Males","0-24","5","Black",524.332877681338
